asin,question,item_name,hours_diff,label
B01CR1FQMG,I need it until Sunday I even payed for the shippingðŸ‘ŽðŸ‘ŽðŸ‘Ž,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",73,Post
B009HQGX4A,Which plate works best making sausage,"Chard FG1000B, 12 Heavy Duty Electric Food Grinder, Stainless Steel, Multicolor Black, 500 watts",18788,Post
B005LJ8EXU,"could not get good flow, added pressure pump, still nothing. disconnected the Alkaline filter and the flow was great. are they all like this?","iSpring RCC7AK 6-Stage Superb Taste High Capacity Under Sink Reverse Osmosis Drinking Water Filter System with Alkaline Remineralization-Natural pH, White",571,Post
B07G75X9D2,I am needing a replacement usb cord for this flosser to charge it. How would I get a replacement? Thank you.,"Anjou Cordless Water Dental Flosser, Professional Irrigator, Portable and Rechargeable, IPX7 Waterproof, 3 Modes, Water Flossing with Easy-to-Clean Water Reservoir, Anti Leakage Design, 200ml",1230,Post
B0721B8M3J,Can the goTenna Mesh be linked to a phone that is not connected to a cell service provider but which can connect to wifi?,"goTenna Mesh | Two Off-Grid SMS & GPS Devices that pair with any phone | Chat, Send Texts & Location Information Without Cell Service or Wi-Fi | 24-Hour Battery | Works with Android & iOS | Blue/Green",-3970,Pre
B009DR0B7I,Do you carru right hand?,"Safariland Model 6395 ALS Low-Ride Level-I Duty Holster, Glock 19/23/32 w/ITI M3 6395-2832-132",8838,Post
B07H2QJN3M,"does anyone know what  the serving size is? On the bag it says 100 gram, but how many pieces does that equal to?","NUTS U.S. - Unsulphured Crystallized Ginger Chunks, No Artificial Colors, Fresh and Delicious Dried Gingers in Resealable Bag!!! (2 LBS)",141,Post
B07GDLNDHZ,Are there cases for this MP3 player that can be bought?,"MYMAHDI MP3 Player with Bluetooth 4.2, Touch Buttons with 2.4 inch Screen, 16GB Portable Lossless Digital Audio Player with FM Radio, Voice Recorder, Support up to 128GB, Pink",-2,Pre
B013ICVMGC,How do I buy extra Sand papers and polishing pads for this item?,"VonHaus 5"" Inch Random Orbit Sander and Polisher with 6 Variable Speed, 13000 RPM, Dust Collector System - Includes 9 Sanding Paper Pads, 3 Polishing Pads",-1,Pre
B07CZM8ZQM,come with launcher?,Takara Tomy B-117 Beyblade Burst Revive Phoenix.10Fr Defense Starter with Launcher,-1970,Pre
B00FB4X3G8,"Has anyone had a problem checking in the 28 inch on United. Their limit is 62 inches, Im traveling international.","Rockland Melbourne Hardside Expandable Spinner Wheel Luggage, Black, 2-Piece Set (20/28)",367,Post
B01M0UZ8NU,I cant get mine to charge. Any suggestions?,Masentek M18S Bluetooth Headset V4.1 Cordless Hand-Free Earpiece w/Noise Cancelling Mic for iPhone 7 Plus 6s 5s iPad Samsung Galaxy S7 Edge S6 S5 Note5 4 LG Android and Other Bluetooth Device (Black),2162,Post
B01HDTR27Y,Can they be converted to Tubeless,Mavic Rim 29 in 29er Mountain Bike Wheels Disc Brake Shimano Hubs Plus Free Continental 29x2.2 Race King Tires and Tubes!,-141,Pre
B000H5Q9BW,Is 1 inch the internal diameter?,"NDS CPC-1000 1-Inch Compression PVC Compression Coupling, Gray",144,Post
B07MD851TM,I am not sure what app i need to download to my android,"Bluetooth Smart Watch Fitness Tracker Watch,Activity Tracker with Smart Watch for Kids Women Men Phone Mate with iPhone Android Samsung",470,Post
B07JHKN95K,Do I have to press the video camera to record anything? Does it not record activity automatically?,AUNEX Video Doorbell WiFi Doorbell Camera PIR Motion Detection Cloud Storage 720P HD Wireless Doorbell Home Security with Two-Way Talk & Video Night Vision Support Android and iOS(Silver),356,Post
B000PGVJZO,This is not worth the money. $37 for a little wire rack. Most of the shelves are very shallow. Only one of them has any depth.,"Rev-A-Shelf 565-14-52 Wall 14"" Door Mount Spice Rack - Wire-White",250,Post
B00030AFQG,What depth will these go. Does the #4 mean 40 ft depth,"Luhr Jensen Jet Diver, Batman/Fire Tiger/Sparkle, 4-Inch",-23,Pre
B07H5JC311,Does this work on termites?,"POP VIEW New Version Pest Repeller Plug in - Pest Control Ultrasonic Repellent - Pest Reject - Get Rid of Mosquitos, Insects, Rats, Mice, Roache",965,Post
B00FQDJTXK,if a ps vita game is made in america will it still be in Japanese?,PlayStation Vita FINAL FANTASY X/X2 HD Remaster RESOLUTION BOX (Japan Import),-4291,Pre
B076D61668,Im trying to get my refund because I was not satisfied how do i contact the seller,"HORUSDY Magnetic Wristband,with Strong Magnets for Holding Screws, Nails, Drilling Bits, of The Best Christmas Day Tools for Men (Gift)",1033,Post
B07F2XVBFW,Are the gel pads that comes with it extra?,RXF ABSÂ StimulatorÂ AbdominalÂ MuscleÂ TonerÂ TrainerÂ -Â PortableÂ ToningÂ BeltÂ UltimateÂ ABÂ StimulatorÂ forÂ MenÂ &Â Women,66,Post
B07HJVQ3RF,Isn't garlic toxic for dogs?,"Amazon Brand - Wag Wet Canned Dog Food, Lamb & Vegetable Stew Recipe, 13.2 oz Can (Pack of 12)",193,Post
B01MUDTTIP,can this be played with the standard controler,Ace Combat 7: Skies Unknown - PlayStation 4,-4,Pre
B06XJRC9YF,Does this help with facial puffiness? My face is very puffy/chubby compared to my body yet Iâ€™m naturally a really really skinny person. Will this work,Premium Water Pills Diuretic Natural & Pure Dietary Supplement for Water Retention Relief Weight loss Detox Cleanse for Men & Women with Vitamin B-6 Potassium Chloride Dandelion Root by Phytoral,-1,Pre
B07DZS2VXJ,Is the wooden box stained or natural color of the wood?,Mixology Bartender Kit: 11-Piece Bar Tool Set with Rustic Wood Stand - Perfect Home Bartending Kit and Cocktail Shaker Set For an Awesome Drink Mixing Experience - Exclusive Cocktail Recipes Bonus,693,Post
B07BFR3VRW,Are they microwave safe?,Table To Go Reusable Plastic Plate Holder | Durable Plastic Support | 10 Inch Paper Plate Holder | Pack of 20 | Multicolor Lightweight Plate Holders,0,Pre
B07MCZGFVD,How wide my bag should be?,"ZENNO No Bark Collar for Small, Medium, Large Dogs - Upgrade Stop Barking Collar for Dogs with Vibration and Sound - Humane and Safe Anti Bark Collar for Dogs - 100% Waterproof Bark Collar",-43,Pre
B06XDVVGDM,"I'm guessing these have a protective nose guard for the bridge of the nose. Am I seeing that right? If so, are they comfortable?",Python Xtreme View Racquetball Eyeguard (Eyewear/Eye Protection) (w/CASE),-119,Pre
B079J4QJVW,Does the powder equal the same vitamin C content as the fruit? Does this label reflect the nutritional content of the fruit or powder?,"Kakadu Plum 100% Pure Superfood Powder (40g) Without Kernel, Nature's Richest Source of Vitamin C, High In Antioxidants, Immunity Boosting, 1.4 OZ",771,Post
B007TY21VQ,Is the wiring and bulbs included in Replacement 19169004?,"Aftermarket Replacement Driver Tail Lamp Lens, Bulb and Wiring Harness Compatible with 2004-2007 Silverado Fleetside Pickup Truck 19169004",-1,Pre
B0749WNCFJ,Why can't i input a dynamic microphone? it that will not turn on the rv-6 nor output to the amp. will any microphone work?,"BOSS RV-6 Digital Reverb Pedal Bundle with Blucoil Slim 9V Power Supply AC Adapter, 2-Pack of Pedal Patch Cables, and 4-Pack of Celluloid Guitar Picks",152,Post
B01GTL4YKK,What is the power chord,"Turtle Beach - Universal digital USB Stream Mic - TruSpeak - Xbox One, PS4 and PC",1799,Post
B07J12MYNR,Is thia optic first or second focal plane.,Monstrum Tactical P536-B Marksman 5X Prism Scope (Black) â€¦,297,Post
B074F8TZNH,Does this machine hook to a computer? If so what operating system is needed?,"Brother SE600 Sewing and Embroidery Machine, 80 Designs, 103 Built-In Stitches, Computerized, 4"" x 4"" Hoop Area, 3.2"" LCD Touchscreen Display, 7 Included Feet",108,Post
B003QCI4GG,Will this work for a pinched nerve? Hurts all the way down my left leg with numb left foot.,Innova ITX9600 Heavy Duty Inversion Table with Adjustable Headrest and Protective Cover,-23,Pre
B0000AYB5U,I was going to buy 4 yesterday but price went up to 28 would you still honor the deal for 18,"Danielson Pacific FTC Crab Trap-24in x 24in x 13in,Black",8812,Post
B0006IID64,What time of day is better to take this? Morning or night? I just received my bottle today.,Standard Process - Catalyn - 360 Tablets,56,Post
B07M86SMWQ,Will it work for a tp-link deco that needs 12 volt dc usb-c with at least 1.2 amps?,"ï»¿USB C Charger for 2018 iPad Pro 12.9, MacBook Pro, MacBook Air, MacBook 12 inch, Galaxy S10, S9, 45W Thunderbolt 3 Port USB C Power Adapter with 3.3ft USB C-C Cable",-1,Pre
B06XHCQ8KY,Why are my LED lights flickering and the lights work perfect with the 12v,"BEAMTECH H13 LED Headlight Bulb, 50W 6500K 8000Lumens Extremely Brigh (9008 Hi/Lo) CSP Chips Conversion Kit",28,Post
B00ZAX29YC,Can i use it for food wrap?,"Texas Beeswax 1 LB, Filtered Yellow Wax from Texas Beekeepers - Smells Like Honey, Clean, Perfect to Make Candles, Lip Balms and Lotions - by Better Shea Butter",-163,Pre
B000BQWB5U,Can i use this to reaseal leaky exterior  window frames?,"Red Devil 0826 100% Silicone Sealant Architectural Grade, Clear, 9.8 Oz, Pack of 1",-566,Pre
B00BX9RNFC,What is the diameter of the actual unit,Kidde Battery Powered Night Hawk Combination Smoke/CO Alarm with Voice/Alarm Warning,-88,Pre
B017WR5BL6,How can I buy another remote?,"Orb Audio: Booster1 Micro Soundbar and Stereo Speaker System with EZ Voice - Remote Included - TV Sound Bar Alternative - Provides Crisp, Detailed Sound - Lifts Dialogue Above Background Noise",4393,Post
B07M6JKQCM,Do they have different color?,"Magic Silicone Dishwashing Gloves, Reusable Cleaning Brush Heat Resistant Scrub Rubber Glove for Dish Washing, Cleaning, Kitchen, Household, Pet Hair Care",-2,Pre
B07JN1DF1D,What is an M1 or M2 setting,"Blood Pressure Monitor by Paramed: Accurate Automatic Upper Arm Bp Machine & Pulse Rate Monitoring Meter with Cuff 22-40cm,120 Sets Memory, LCD - Device Bag & 4AAA Included",179,Post
B0719462ZV,"Is there a definitive answer about this changer playing all 5 cds randomly (shuffle)?  not random by single cd, but 5 cd shuffle for each next track?","Sharp XL-BH250 Sharp 5-Disc Micro Shelf Executive Speaker System with Bluetooth, USB Port for MP3 Playback, AM/FM, Audio in for Digital Players",-40,Pre
B07FLV6SQK,I too need extra adhesives. Where can I find replacements?  They keep breaking off.,HOMODELIA Shelf Storage Corner Basket Holder Shower Organizer Kitchen Spice Rack Versatile Shelves No Drilling Adhesive Wall Mounted Stainless Steel SUS304 with 2 Hanging Tower Hook â€“ 1PCS,3058,Post
B07H2NTVR1,"is the ones with buckles bigger than the ones without, or vice versa, or is there any size difference?","Haiker 2020-2021 White""Molang Rabbit"" Diary Any Year Planner Pocket Journal Notebook Agenda Scheduler with Buckle",-759,Pre
B079NXTMMH,"When I pushed the power button, the blue light came on and then the blue and red flashed 8 times. What does that mean?","Mini Spy Camera Hidden Cam, Waterproof 1080P Full HD Cameras with 155Â° Wide-Angle Lens, Nanny/Housekeeper Cam with Night Vision & Motion Detection, Sports Action Cam with Mounting Accessories Kit",101,Post
B06XST8B83,Will this work with a pc fan and a 100w led grow lamp?,"ITead Sonoff Dual Channel WiFi Wireless Smart Switch Compatible with Alexa, Control two home appliances with APP,remote control Appliance Controller for DIY Smart Home",-222,Pre
B006K91JZK,How many cc are these injectors?,Bosch 0280158040 Fuel Injector,-226,Pre
B07CZBQVKJ,How many Volts is the Voltage Grid on this product for zapping insects?,"YONGXIN Mosquito Bug Zapper, Powerful 2500V Grid Insect Killer â€“ 23 Watts Fly Trap, Mosquito Killer â€“ for Residential, Commercial and Industrial Indoor Use",172,Post
B016W1NWCI,Do you need to buy hooks along with this shower curtain?,"iDesign Leaves Botanical Fabric Bathroom Shower Curtain - 72"" x 72"", White/Blue",-16,Pre
B001HTWL8C,"Serious Question if anyone knows, what happens if this is inserted in the rectum?","EarPlanes Earplugs, 3 Pairs",23,Pre
B07JRDKT1D,How do you install the cellular phone to the carrier,"Compatible with Samsung Galaxy J7 2018 Refine, Crown, Aura, Aero, Eon, J7 Top (SM- J737) [Four Layered Protection] Heavy Duty Defender Holster Armor Case with Built in Screen Protector (Black)",124,Post
B00LITWSW0,Does this floss have pfoa?,"Listerine Ultraclean Dental Floss, Oral Care, Mint-Flavored, 30 Yards (Pack of 6)",8782,Post
B07LGMTV3G,How does the heating work? Just a band?,KOKOBUY Support Self Protection Cervical Vertebra Spontaneous Heating Guard Neck Strap,613,Post
B01L2CR4KS,"Glass pot is broken, how can I buy a new pot?","Aramco AI16155 1.7L/1.5L Electric Tea Maker Set, 1.5 LITER, Chrome",15581,Post
B01G2E42IS,Does this contain paraffen wax,Ner Mitzvah Shabbat Candles - Traditional Shabbos Candles - 4 Hour - 72 Count - by Ohr,-1,Pre
B073ZFDJG6,Does anyone update your A7iii to latest firmware w/this adapter? My A7iii still on 1.01 and works very well with this adapter. but afraid to upgrade,Commlite cm-ENF-E1 Pro Nikon F Mount Lens to Sony E Mount Autofocus Electronic Lens Adapter w/Aperture Control Built-in is VR EXIF Transmitting for Sony A9 A7R2 A7II A6300 A6500 A7R,5786,Post
B01N19IR1Z,I'm seeing here people are saying it's compatible with samsung health app on.  does that mean it samsung health will show the heart rate from the h10?,"POLAR H10 Heart Rate Monitor, Bluetooth HRM Chest Strap - iPhone & Android Compatible, Black",5,Pre
B079ZBRMDW,How do I get extra (3) battery skins?,"Red Valkyrie Decal for Drone DJI Spark Kit - Includes Drone Skin, Controller Skin and 1 Battery Skin",40,Post
B01EAW2DU8,Is this shirt 100% cotton?,Star Wars Mandalorian Logo T-Shirt - Green (XX-Large),-1813,Pre
B005XOOYIC,how many come in the package?,Helping Hand 10552 Suction Soap Holder,-169,Pre
B07H767K65,How to extend the leg/support to accommodate larger phones?,"Fast Wireless Car Charger Infrared Sensor, Fortune Nexus Automatic Phone Holder Air Vent Mount, Compatible with 10W Charge Samsung S9/S8 Note 8/9, 7.5W iPhone X/Xs/Xs Max/8 & Qi Enabled Phones, White",54,Post
B0083VMIFS,How many holes am I drilling to mount this in a trailer?,CONDOR - PSTK #6400 Motorcycle Wheel Chock - Chocks,-1,Pre
B01N7I4X94,How do I install this with the Echo Plus? The Element home app still says I need to connect to Ethernet.,"Sengled Smart Light Bulb, Smart Bulbs that work with Alexa, Google Home (Smart Hub Required), Smart Bulb A19 Alexa Light Bulbs, 800LM Soft White (2700K), A19 Dimmable, 9W (60W Equivalent), 1 Pack",816,Post
B06Y5FWTB9,Is this a bolt-in replacement?  No welding required?,Catalytic Converter compatible with Ford 2007-10 Edge|2010 Fusion|2009-10 Flex|2008-12 Taurus| 2008-09 Taurus X & Lincoln 2009-10 MKS|2007-10 MKX|2007-10 MKZ & Mazda 6|CX-9 & Mercury Sable right Side,-2571,Pre
B07CGLQ27Q,Why is it that where you put the batteries is it missing parts you be able to use the puck ups?  Or is it just another piece of junk?!,"LAGRIMA 38"" Acoustic Guitar Cutaway Design, Natural 6 Steel Strings with Nylon Bag,Tuner, Pickups, Strap for Beginners, Kids, Adults, Black",49,Post
B07GRDPJQF,How to contact the seller,1,132,Post
B00DUQC26Q,is it possible to delevope a skin fungus and/or acne ingesting  Pueraria Mirifica?,Pueraria Mirifica  240 Caps. 500mgFor 2 Month  Breast Augmentation  Breast Booster Pills  Female Sexual Enhancement  Original From North Of Thailand,8134,Post
B07H8S5LXZ,How to you stick to wall there are no instructions?,WorthTrust Deep Shower Shelf Caddy Storage Basket Shampoo Conditioner Holder w Vacuum Suction Cups No Hooks No Drilling - Sponge Shampoo Conditioner Holder- Stainless Steel TNB-BAKT12,51,Post
B00XISYB42,What can I eat when using this product? Or whatâ€™s best to stay away?,"Evlution Nutrition Lean Mode - Complete Stimulant-Free Weight Loss Support and Diet System with Green Coffee, Carnitine, CLA, Green Tea, Garcinia Cambogia for Fat Burning and Metabolism, 50 Servings",33,Post
B014JF26CQ,Does this lamp come in a black finish ???,Bentley Modern Task Floor Lamp LED Silver Aluminum Adjustable Touch On Off for Living Room Reading Bedroom Office - Possini Euro Design,-27,Pre
B0771V6QQZ,"My package arrived with nothing in , please send me the dimes you charged me for this order, bag was empty",1961 1962 1963 1964 Silver Roosevelt Dimes 4 GEM PROOF Coins,100,Post
B079GQT7RD,Will the metal change color over time?,ReisJewelry Cinderella's Pumpkin Carriage Charm Heart Love Fairy Tale Charms for Snake Chain Bracelets,-1532,Pre
B0744XHM67,What size in number is the medium?,"O'NEILL Girls' Big Joanie Woven Romper, Terracotta, M",-2,Pre
B01LYV3V9J,Does this work with pex?,Votamuta Oil Rubbed Bronze Bathroom Luxury Rain Mixer Shower Faucet Set Wall Mount Rainfall Shower Head System with Hand Shower,-146,Pre
B07CF41MLP,"""Is this the same fryer that was sold under the name of...""""tiny chefs"""" and """"cookjoy?""""""","KLARSTEIN VitAir Turbo Hot Air Fryer, Reduced-Fat Frying, Baking, Grilling and Roasting, 9.6 qt Cooking Chamber, Rotisserie, 1300 Watts Halogen, Up to 450 F, Black-White",-23,Pre
B01ASAJS68,What color purple is this?  The picture looks more pink,Lamborghini Diablo Purple 1/24 by Motormax 73201,-476,Pre
B008HRJS24,Does the filter get placed with the black side facing out?  Iâ€™ve seen differing answers so confused.  Thanks!,"PetSafe Drinkwell Zen Stainless Steel Dog and Cat Water Fountain, Pet Drinking Fountain, 128 oz. Water Capacity",2266,Post
B07BDG4C97,Is this safe made to be mounted flush in the wall or to just be bolted to the wall ?,Cheopz Safe Watch Winder Box for 12 Automatic Watches with Dual Digital & Card Key Lock Security,-123,Pre
B00H2ZS5VM,Iâ€™ve noticed some of the items I have on auto renew have jumped in price with no warning...?,Rocco & Roxie - Jerky Dog Treats Made in USA â€“ Puppy Training Treat Slow Roasted Snacks for Dogs - Soft Chews - Delicious Jerkey Sticks,30400,Post
B005N3PPIG,I purchased the vivier skin foaming cleanser-5 oz  from your company and the pump does not work.  i have used this product for  years with no problem,"VivierSkin Foaming Cleanser, 5 Fluid Ounce",8420,Post
B074PZY8CV,Is this compatible with sirui vh-10x heads?,"PM501 Manfrotto Type Quick Release Plate with Arca Swiss Type Clamp Built in Compatible with 501PL / RC3 / RC5 / NG Heads Features ProMediaGear Strap Port, for Video Heads and Plates",-5333,Pre
B07MCRFTWX,What is width of screw placement in the wall bracket?,Acrylic Made Bracket Mount Stand Anti-Scroll Holder and Wall Mount for Echo Plus (2nd Gen) (Blcak),46,Post
B07HJF2LML,Are these double layered?,4 Pack Aloe Infused Womens Warm Full Cushion Nordic Cabin Socks Ultimate Comfort Warmth,-1,Pre
B009ZZI0NK,Will this work on Lifepak 12 ?,"Contec 80A ECG Chart Paper, 50mm X 20m - 10 rolls",-3,Pre
B079QZQKN9,Why do I continually get an error message when I try to add one of these shirts to my shopping cart?,56th FA Bde Bismarck Kaserne Schwaebisch Gmuend T-shirt,-2392,Pre
B01N221R4R,how do you assemble the cup cake holder ?,"3-Tier White Round (12""W x 10""H) Cardboard Cupcake Stand Dessert Tower Treat Stacker Pastry Serving Platter Food Display",70,Post
B076X7RBBB,"What is the actual material of the outer net? I got biodegradable but I hope it's not some kind of plastic, like it was in some earlier Jiffy pellets","Jiffy Medium Pellets - Expands to 1-1/2"" Diameter (36 mm) x 1-5/8"" Tall - 100ct",10,Pre
B07H3JVZJZ,Can I install devices in multiple locations (residence & vacation home) and have them appear in the app?,"Leviton DW15P-1BW Decora Smart Wi-Fi Mini Plug-In Outlet, No Hub Required, Works with Alexa and Google Assistant",-3476,Pre
B074J6FKTJ,"The canvas seems quite loose and wavy on one side, is that normal?",Traditional Chinese Painting Hand Painted Plum Blossom Canvas Wall Art Modern Black and White Landscape Oil Painting for Living Room Bedroom Office Decoration (48x24 inch),61,Post
B00PUSM2O4,I've read that phenoxyethanol is toxic & the material safety data sheet (msds) on phenoxyethanol states that it can cause skin and lung irritation?,Ocean Mineral Facial Moisturizer - Natural & Organic Daily Face Lotion With Seaweed Bio-Complex - NEW FORMULA - Foxbrim Naturals (60mL/2oz),27647,Post
B07GFFTYMP,"I am trying to redeem the code and i cant figure it out. also it was a gift and i want to give it to someone, can anyone give me advice? thanks",The Grand Tour Game - PS4 [Digital Code],582,Post
B00LGN1QFS,Will this fit the comforter too (the one that comes in the Japaneseâ€™s futon set)?,EMOOR Storage Case for Traditional Japanese Futon & Duvet & Pillow Single,-30,Pre
B07LBMNW3K,Is this loud enough to hear if water is running while taking a shower?,"Waterproof Bluetooth Speakers Portable Wireless,Shower Outdoor Speaker Bluetooth Waterproof IPX 7 Certified, Hands-Free Speakerphone, Built-in Mic for Bathroom, Sports, Pool, Beach, Hiking, Camping",145,Post
B075ZV9H8K,Animal testing,"Le Petit Marseillais Extra Gentle Liquid Hand Soap with Sweet Almond Milk, French Moisturizing Hand Soap pH Neutral for Skin, 10.1 fl. oz",-1,Pre
B07DWCL1JQ,Will these fit the 2019 Forester Sport?,2008-2019 Sedan Carbon Fiber Emblem Decals Compatible with Subaru WRX STI (Orange),-1,Pre
B07LFR3WLH,do you have to press super hard to swipe or open apps?,"OTAO Note 9 Screen Protector Tempered Glass, 3D Curved Dot Matrix [Full Screen Coverage] [Case Friendly] Galaxy Note9 Glass Screen Protector with Installation Tray for Samsung Note 9",-1,Pre
B01DUZ5NF8,What is the overall length,"Two 2"" x 20' E Track Tie-Down Ratchet Straps | Heavy Duty Ratcheting Cargo Strap TieDowns w/ETrack Spring Fittings & Ratchets, Polyester Webbing | Secure Motorcycles, Pickup, Truck, Trailer Loads",-1,Pre
B07D2H7357,Is this mug dishwasher safe?,"Gifts for Daughter From Dad - To My Daughter Canvas Coffee Mug - 11oz Novelty Ceramic Cup - Christmas, Xmas, Birthday, Wedding, Fathers Day, Graduation, Valentine's Day Gift ideas for daughters Women",165,Post
B07H353JTV,Will this fit the mora garberg?,"Ottoza Custom Handmade Brown 7"" Leather Knife Sheath for 7 inch Blade for Bushcraft Knife - Hunting Knife - Camping Knife - Survival Knife - Fixed Blade Knives Vertical Carry/Cow-Buffalo Leather No:74",-3597,Pre
B0775F4B68,length of s/m robe?,"Artfasion Women's Long Flannel Bathrobe Ultra Soft Plush Microfiber Fleece Robes,Purple,Large/X-Large",294,Post
B01F1AHQNM,why dont you send free bottle when you put offer inside? You never answer phone or respond back?,"Premium Natural Sleep Aid for Adults - Effective Relief - Non Habit Forming - Wake Up Feeling Refreshed - Proprietary Blend with Melatonin, Tryptophan, Magnesium, Valerian, Chamomile & More - 60 Veg",16912,Post
B07MKPJKQ3,I own a Smith and wesson sd9. Not the ve version. Are they the same fit?,Alien Gear holsters Shape Shift Inside Waist Band - S&W SD9 VE - Right Hand - Standard Clips,-536,Pre
B07HML75MC,"Is the material of this shirt more of a stretchy spandex-like material, or is it more standard cotton?",Disney Pirates of the Caribbean Untouchable Black Pearl T-Shirt,-355,Pre
B00UKVNSLC,Is there lead (the heavy metal) in the cord? The Oster clippers I bought had a note on the cord saying the cord contained lead.,Wahl Clipper Elite Pro High-Performance Home Haircut & Grooming Kit for Men â€“ Electric Hair Clipper â€“ Model 79602,-1,Pre
B07DDQCQGF,How do you install and use the safety straps? It didn't come with any instructions.,"Boston Child Proof Cabinet Locks and Child Safety Cabinet Locks Baby Safety Kit for Baby Proofing Cabinets, Adjustable Strap Locks Baby Safety Locks, Cabinet Locks Child Safety Fridge Lock Door Latch",90,Post
B01498JLPS,I have a flexio 2000 and have not been able to locate a replacement cup for it. will this cup fit it? (wagner 2303366 fluid cup 1.5 qt.),Wagner 2303366/2361502 Fluid Cup Container 1.5 Qt.,-13,Pre
B07KC8HVKG,Is this case waterproof?,"Battery Case for iPhone X/XS, 4000mAh Ultra Slim Protective Charging Case Rechargeable Extended Battery Pack for 5.8 inch iPhone X/XS (Black)",459,Post
B0187S7YBE,What is the care of these? Wash? Dry clean?,"Cloth Napkins Table Linens Linen Napkins Palm Leaves Set of Six 22"" x 22"" Dinner Napkins",62,Post
B00MEO26IE,does it come in a left and a right brace?,"BraceAbility Open Patella/Open Back Neoprene Knee Sleeve | Water-Resistant Athletic Compression Knee Brace for Swimming, Wakeboarding, Scuba Diving, Surfing, Waterskiing and Other Sports (Large)",102,Post
B07L5PV369,How is the bass line?,"Wireless Earbuds, GoNovate Airo True Wireless Headphones BT 5.0 Earbuds 36 Hour Playtime Deep Bass Stereo Sound, Support Binaural Call with CVC Noise Cancelling, Waterproof with Charging Case",8,Pre
B079HPLXV8,How do you get the wrinkles out?,"Kshioe 1700W 5500K Umbrellas Softbox Continuous Lighting Kit with Backdrop Support System for Photo Studio Product, Portrait and Video Shoot Photography",1396,Post
B0052L7GCC,Does it come with the hanging files as well?,"Officemate Hanging File Frame, Letter Size, Adjustable 14 to 18-Inches, 2 Pack (91990)",-27,Pre
B01MECYO5E,does this come with the faucet?,"ACF DA31 Dadila Wall Mount Bathroom Vanity Set with 2 Drawers, 38"", Glossy White",5,Pre
B01MS2BNTB,Are the nubuck pre-treated with a leather protector?  inside of the box has a scotchguard sticker. just trying to avoid treating them immediately.,"Dansko Women's Jenna Flat, Black Nubuck, 38 EU/7.5-8 M US",94,Post
B07DHK7YK3,I sat on the remote and it broke. What are the codes to program a universal remote?,EUG 4600 Lux Android Smart Video Projector with Bluetooth WiFi Support Full HD 1080P HDMI RCA Audio USB VGA LCD LED Multimedia Wxga Wireless Outdoor Movie Proyector for Game Console Smartphone DVD TV,804,Post
B07G9ZH62H,How many is in gere one description says 30 the other says 50 and so does the picture of the product,"Glitter Pens 100 Set by Chromatek. Best Colors. 200% The Ink: 50 Gel Pens, 50 Refills. Super Glittery Ultra Vivid Colors. No Repeats. Professional Art Pens. New & Improved. Perfect Gift! â€¦",-176,Pre
B07JLL5Q8Q,Does it support 3-way switches? e.g. the light could be controlled from 2 different locations as in at the top and the bottom of a stairwell,"SANA Smart Light Switch,Wi-Fi Switch In-wall Wireless Switch,No Hub Required(3 Switches in 1 Gang) SASW-03",68,Post
B01KGFXSLQ,"Ladies, i have a smell but all tests came back negative so no infection. wtf. will these pills help?? also can you still get pregnant on these pills?","pH-D Feminine Health - Boric Acid Suppositories - Woman Owned Natural Alternative to Restore Vaginal Balance - Prevent Odor from Menstruation, Exercise, Intercourse & Menopause â€“ 600 mg x 24 count",-1,Pre
B00HUIK0L4,"If this doesn't fix my dishwasher, can I send it back? What is your policy?",Frigidaire 807545704 Console Assembly,-25,Pre
B005VMW2CQ,This wolf says lying down but picture shows him sitting up? Which is it?,GipsyÂ â€“Â 054692Â â€“Â Wolf Lying Down 30Â cm Grey,-496,Pre
B07F44ZNZN,Does anyone know how small a wrist this will actually work with?  My mother's wrist is well under the 5.25-5.30 minimum listed on most.  Thanks!,Blood Pressure Monitor Wrist Cuff - Automated BP Machine - Digital Home BP Monitoring Kit - Clinically Accurate & Fast Reading - BPM-337 by iProven,-6,Pre
B004M32XWE,I wear contacts. Can i use Can-C?,CAN-C Eye Drops 2X 5ml Vials,-1,Pre
B07HLFYCXR,"If I sat at the back of a 100-200 person lecture hall, would it effectively record the voice of the speaker?",Voice Recorder for Lectures (8GB Mini),54,Post
B07H4D1BYW,Which app do I download so I can use the Bluetooth,aikeec Circuit Board Dashboard Cover Replacement for Xiaomi MIJIA M365 Scooter,79,Post
B01NAQ9V75,"""I am 5 ' 1""""'and weigh 113 pounds.  i want the leopard print jacket. should i buy the small or xs ? i don't like big jackets.""","SweatyRocks Women Khaki Hooded Dolman Sleeve Faux Fur Cardigan Coat for Winter (Small, Leopard)",263,Post
B00N70VWL6,"Per our messages, please customize the picture to the 1970 yellow duster with black vinyl top.",1971-1972 PLYMOUTH DUSTER 340 WALL CLOCK-FREE USA SHIP!,-1,Pre
B01LZ01EYZ,First and only use at low temperature left a burn mark on the outside of the bottom; not very happy. Who may I contact?,"BALLARINI Parma Forged Aluminum Nonstick Fry Pan, 12""",311,Post
B07M8QFQ3Q,What is the black piece for?,"GVIEWIN Marble Designed for iPhone Xs Max, Soft Silicone TPU Thin Cover Slim Case for iPhone Xs Max 6.5 inch (2018) - Green/Gold",36,Post
